,Artist,Title,Year
0,Francis Craig,Near You,1947
1,The Harmonicats,Peg O’ My Heart,1947
2,Ted Weems,Heartaches,1947
3,Ray Noble and Buddy Clark,Linda,1947
4,Tex Williams,"Smoke, Smoke, Smoke That Cigarette",1947
5,Vaughn Monroe,I Wish I Didn’t Love You So,1947
6,The Three Suns,Peg O’ My Heart,1947
7,Al Jolson,Anniversary Song,1947
8,Larry Green,Near You,1947
9,Sammy Kaye,That’s My Desire,1947
10,Vaughn Monroe,Ballerina,1947
11,Art Lund,Mam’selle,1947
12,Freddy Martin,"Managua, Nicaragua",1947
13,Perry Como,Chi-Baba Chi-Baba,1947
14,Red Ingle and Jo Stafford,Temptation (Tim-tayshun),1947
15,Ted Weems and Perry Como,I Wonder Who’s Kissing Her Now,1947
16,The Andrews Sisters,Near You,1947
17,Sammy Kaye,The Old Lamplighter,1947
18,Perry Como,When You Were Sweet Sixteen,1947
19,Jack Owens,How Soon,1947
20,Arthur Godfrey,Too Fat Polka,1947
21,Eddy Howard,"I Wonder, I Wonder, I Wonder",1947
22,Eddy Howard,My Adobe Hacienda,1947
23,Hoagy Carmichael,Huggin’ And Chalkin’,1947
24,Hoagy Carmichael,Ole Buttermilk Sky,1947
25,The King Cole Trio,I Love You For Sentimental Reasons,1947
26,Dick Haymes,Mam’selle,1947
27,Vaughn Monroe,You Do,1947
28,Guy Lombardo,Anniversary Song,1947
29,Bing Crosby,White Christmas,1947
30,Dinah Shore,Anniversary Song,1947
31,Mills Brothers,Across The Alley From The Alamo,1947
32,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo,1947
33,Kay Kyser,The Old Lamplighter,1947
34,Art Lund,Peg O’ My Heart,1947
35,Count Basie,"Open The Door, Richard",1947
36,Margaret Whiting,You Do,1947
37,Dorothy Shay,Feudin’ And Fightin’,1947
38,Charlie Spivak,Linda,1947
39,Guy Lombardo,"Managua, Nicaragua",1947
40,Tex Beneke and The Glenn Miller Orchestra,Anniversary Song,1947
41,Bing Crosby,The Whiffenpoof Song,1947
42,Vaughn Monroe,How Soon,1947
43,Dusty Fletcher,"Open The Door, Richard",1947
44,Eddy Howard,I Love You For Sentimental Reasons,1947
45,Peggy Lee,Golden Earrings,1947
46,Kay Kyser,Ole Buttermilk Sky,1947
0,Pee Wee Hunt,Twelfth Street Rag,1948
1,Peggy Lee,Manana,1948
2,Bing Crosby,Now Is The Hour,1948
3,Margaret Whiting,A Tree In The Meadow,1948
4,Jon and Sondra Steele,My Happiness,1948
5,Ken Griffin and Jerry Wayne,"You Can’t Be True, Dear",1948
6,Dick Haymes,Little White Lies,1948
7,Al Trace,You Call Everybody Darlin’,1948
8,The Pied Pipers,My Happiness,1948
9,Art Mooney,I’m Looking Over A Four Leaf Clover,1948
10,Doris Day,It’s Magic,1948
11,Gordon Jenkins,Maybe You’ll Be There,1948
12,Vaughn Monroe,Ballerina,1948
13,The King Cole Trio,Nature Boy,1948
14,Kay Kyser,Woody Woodpecker,1948
15,Doris Day and Buddy Clark,Love Somebody,1948
16,Gracie Fields,Now Is The Hour,1948
17,Francis Craig,Beg Your Pardon,1948
18,Ken Griffin,"You Can’t Be True, Dear",1948
19,The Andrews Sisters,Toolie Oolie Doolie,1948
20,Dinah Shore,Buttons & Bows,1948
21,Peggy Lee,Golden Earrings,1948
22,Art Mooney,Baby Face,1948
23,Arthur Godfrey,Too Fat Polka,1948
24,Ella Fitzgerald,My Happiness,1948
25,Perry Como,Because,1948
26,Sammy Kaye,Serenade Of The Bells,1948
27,Tommy Dorsey,Until,1948
28,Spike Jones,William Tell Overture,1948
29,Frankie Carle,Beg Your Pardon,1948
30,Tex Beneke,St. Louis Blues March,1948
31,Primo Scala,Underneath The Arches,1948
32,Kay Kyser,On a Slow Boat to China,1948
33,Sportsmen and Mel Blanc,Woody Woodpecker,1948
34,Ray Noble,I’ll Dance at Your Wedding,1948
35,Freddy Martin,The Dickey-Bird Song,1948
36,Russ Morgan and Milt Herth,I’m Looking Over A Four Leaf Clover,1948
37,Vaughn Monroe,How Soon,1948
38,Jo Stafford,Serenade Of The Bells,1948
0,Vaughn Monroe,Riders In The Sky,1949
1,Frankie Laine,That Lucky Old Sun,1949
2,Vic Damone,You’re Breaking My Heart,1949
3,Perry Como,Some Enchanted Evening,1949
4,Jimmy Wakely and Margaret Whiting,Slipping Around,1949
5,The Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I",1949
6,Russ Morgan,Cruising Down the River,1949
7,Evelyn Knight,A Little Bird Told Me,1949
8,Frankie Laine,Mule Train,1949
9,Al Morgan,Jealous Heart,1949
10,The Blue Barron,Cruising Down The River,1949
11,Vaughn Monroe,Someday,1949
12,Gordon Jenkins,Again,1949
13,Russ Morgan,Forever & Ever,1949
14,Perry Como,Forever & Ever,1949
15,Gordon Jenkins,"Don’t Cry, Joe",1949
16,Sammy Kaye,Room Full Of Roses,1949
17,Bing Crosby,Far Away Places,1949
18,Dinah Shore,Buttons & Bows,1949
19,Bing Crosby,Galway Bay,1949
20,Vaughn Monroe,Red Roses For A Blue Lady,1949
21,Russ Morgan,So Tired,1949
22,Evelyn Knight,Powder Your Face With Sunshine,1949
23,Johnny Mercer and Margaret Whiting,"Baby, It’s Cold Outside",1949
24,Jo Stafford and Gordon MacRae,Whispering Hope,1949
25,Sammy Kaye,Careless Hands,1949
26,Perry Como and The Fontane Sisters,‘A’ You’re Adorable,1949
27,Dick Haymes,Maybe It’s Because,1949
28,Tommy Dorsey and Charlie Shavers,The Hucklebuck,1949
29,Gordon Jenkins,I Don’t See Me In Your Eyes Any More,1949
0,Gordon Jenkins and The Weavers,Goodnight Irene,1950
1,Nat King Cole,Mona Lisa,1950
2,Anton Karas,Third Man Theme,1950
3,Gary and Bing Crosby,Sam’s Song,1950
4,Gary and Bing Crosby,Simple Melody,1950
5,Teresa Brewer,"Music, Music, Music",1950
6,Guy Lombardo,Third Man Theme,1950
7,Red Foley,Chattanoogie Shoe Shine Boy,1950
8,Sammy Kaye,Harbor Lights,1950
9,Sammy Kaye and Don Cornell,It Isn’t Fair,1950
10,Eileen Barton,If I Knew You Were Coming I’d’ve Baked A Cake,1950
11,Kay Starr,Bonaparte’s Retreat,1950
12,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",1950
13,Tony Martin,There’s No Tomorrow,1950
14,Phil Harris,The Thing,1950
15,Ames Brothers,Sentimental Me,1950
16,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,1950
17,Patti Page,Tennessee Waltz,1950
18,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I",1950
19,Tennessee Ernie Ford and Kay Starr,I’ll Never Be Free,1950
20,Patti Page,All My Love,1950
21,Gordon Jenkins,My Foolish Heart,1950
22,Ames Brothers,Rag Mop,1950
23,Bill Snyder,Bewitched,1950
24,Perry Como,Hoop-Dee-Doo,1950
25,Gordon Jenkins,Bewitched,1950
26,Ames Brothers,Can Anyone Explain?,1950
27,Billy Eckstine,My Foolish Heart,1950
28,Bing Crosby,Dear Hearts And Gentle People,1950
29,Frankie Laine,Cry Of The Wild Goose,1950
0,Nat King Cole,Too Young,1951
1,Tony Bennett,Because Of You,1951
2,Les Paul and Mary Ford,How High The Moon,1951
3,Rosemary Clooney,Come On-a My House,1951
4,Mario Lanza,Be My Love,1951
5,Weavers,On Top Of Old Smoky,1951
6,Tony Bennett,"Cold, Cold Heart",1951
7,Perry Como,If,1951
8,Mario Lanza,Loveliest Night Of The Year,1951
9,Patti Page,Tennessee Waltz,1951
10,Frankie Laine,Jezebel,1951
11,Tony Martin,I Get Ideas,1951
12,Les Paul and Mary Ford,Mockin’ Bird Hill,1951
13,Patti Page,Mockin’ Bird Hill,1951
14,Guy Mitchell and Mitch Miller,My Heart Cries For You,1951
15,Eddy Howard,(It’s No) Sin,1951
16,Vaughn Monroe,Sound Off,1951
17,Dinah Shore,Sweet Violets,1951
18,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,1951
19,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",1951
20,Four Aces and Al Alberta,(It’s No) Sin,1951
21,Debbie Reynolds and Carlton Carpenter,Aba Daba Honeymoon,1951
22,Frankie Laine,"Rose, Rose I Love You",1951
23,Del Wood,Down Yonder,1951
24,Billy Eckstine,I Apologize,1951
25,Patti Page,Would I Love You,1951
26,Perry Como,You’re Just In Love,1951
27,Ames Brothers and Les Brown,Undecided,1951
28,Phil Harris,The Thing,1951
29,Les Baxter,Because Of You,1951
0,Leroy Anderson,Blue Tango,1952
1,Kay Starr,Wheel Of Fortune,1952
2,Johnnie Ray,Cry,1952
3,Jo Stafford,You Belong To Me,1952
4,Vera Lynn,"Auf Wiederseh’n, Sweetheart",1952
5,Rosemary Clooney,Half As Much,1952
6,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952
7,Patti Page,I Went To Your Wedding,1952
8,Al Martino,Here In My Heart,1952
9,Percy Faith,Delicado,1952
10,Georgia Gibbs,Kiss Of Fire,1952
11,Eddie Fisher and Hugo Winterhalter,Any Time,1952
12,Four Aces,Tell Me Why,1952
13,Ella Mae Morse,Blacksmith Blues,1952
14,Jo Stafford,Jambalaya,1952
15,Rosemary Clooney,Botch-a-me,1952
16,Doris Day,A Guy Is A Guy,1952
17,Johnnie Ray,The Little White Cloud That Cried,1952
18,Frankie Laine,High Noon,1952
19,Eddie Fisher and Hugo Winterhalter,I’m Yours,1952
20,Mills Brothers,Glow Worm,1952
21,Johnny Standley,It’s In The Book,1952
22,Pee Wee King,Slow Poke,1952
23,Johnnie Ray,Walkin’ My Baby Back Home,1952
24,Les Paul,Meet Mr. Callaghan,1952
25,Don Cornell,I’m Yours,1952
26,Don Cornell,I’ll Walk Alone,1952
27,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952
28,Hilltoppers,Trying,1952
29,Johnnie Ray,"Please, Mr. Sun",1952
0,Percy Faith,Song From Moulin Rouge,1953
1,Les Paul and Mary Ford,Vaya Con Dios,1953
2,Patti Page,Doggie In The Window,1953
3,Eddie Fisher,I’m Walking Behind You,1953
4,Ames Brothers,"You, You, You",1953
5,Teresa Brewer,Till I Waltz Again With You,1953
6,Les Baxter,April In Portugal,1953
7,Perry Como,No Other Love,1953
8,Perry Como,Don’t Let The Stars Get In Your Eyes,1953
9,Frankie Laine,I Believe,1953
10,Pee Wee Hunt,Oh,1953
11,Frank Chacksfield,Ebb Tide,1953
12,Nat King Cole,Pretend,1953
13,Richard Hayman,Ruby,1953
14,Stan Freberg,St. George And The Dragonet,1953
15,Hilltoppers,P.S.: I Love You,1953
16,Gaylords,Tell Me You’re Mine,1953
17,Julius La Rosa,Eh Cumpari,1953
18,Tony Bennett,Rags To Riches,1953
19,Silvana Mangano,Anna,1953
20,Perry Como,Say You’re Mine Again,1953
21,Ray Anthony,Dragnet,1953
22,Frankie Laine and Jimmy Boyd,Tell Me A Story,1953
23,June Valli,Crying In The Chapel,1953
24,Joni James,Why Don’t You Believe Me,1953
25,Joni James,Your Cheating Heart,1953
26,Frank Chacksfield,Limelight (Terry’s Theme),1953
27,Eddie Fisher,With These Hands,1953
28,Eartha Kitt,C’est Si Bon,1953
29,Joni James,Have You Heard?,1953
0,Kitty Kallen,Little Things Mean A Lot,1954
1,Perry Como,Wanted,1954
2,Rosemary Clooney,Hey There,1954
3,Crew Cuts,Sh-Boom,1954
4,Jo Stafford,Make Love To Me,1954
5,Eddie Fisher,Oh! My Pa-pa,1954
6,Four Knights,I Get So Lonely,1954
7,Four Aces,Three Coins In The Fountain,1954
8,Doris Day,Secret Love,1954
9,Archie Bleyer,Hernando’s Hideaway,1954
10,Frank Sinatra,Young At Heart,1954
11,Rosemary Clooney,This Ole House,1954
12,Eddie Fisher,I Need You Now,1954
13,Patti Page,Cross Over The Bridge,1954
14,Gaylords,The Little Shoemaker,1954
15,Dean Martin,That’s Amore,1954
16,Frank Weir,The Happy Wanderer,1954
17,Nat King Cole,Answer Me My Love,1954
18,Tony Bennett,Stranger In Paradise,1954
19,Doris Day,If I Give My Heart To You,1954
20,Kay Starr,If You Love Me (Really Love Me),1954
21,Ralph Marterie,Skokiaan,1954
22,Don Cornell,Hold My Hand,1954
23,Patti Page,Changing Partners,1954
24,Perry Como,Papa Loves Mambo,1954
25,Bill Haley and His Comets,"Shake, Rattle And Roll",1954
26,Tony Bennett,Rags To Riches,1954
27,Kitty Kallen,In The Chapel In The Moonlight,1954
28,Four Aces,Stranger In Paradise,1954
29,Tony Martin,Here,1954
0,Perez Prado,Cherry Pink And Apple Blossom White,1955
1,Bill Haley and His Comets,Rock Around The Clock,1955
2,Mitch Miller,The Yellow Rose Of Texas,1955
3,Roger Williams,Autumn Leaves,1955
4,Les Baxter,Unchained Melody,1955
5,Bill Hayes,The Ballad Of Davy Crockett,1955
6,Four Aces,Love Is A Many Splendored Thing,1955
7,McGuire Sisters,Sincerely,1955
8,Pat Boone,Ain’t That A Shame,1955
9,Georgia Gibbs,Dance With Me Henry,1955
10,Crazy Otto,Crazy Otto Medley I & 11,1955
11,Billy Vaughn,Melody Of Love,1955
12,Tennessee Ernie Ford,Sixteen Tons,1955
13,Frank Sinatra,Learnin’ The Blues,1955
14,Fontaine Sisters,Hearts Of Stone,1955
15,Georgia Gibbs,Tweedle Dee,1955
16,Four Lads,Moments To Remember,1955
17,Chordettes,Mr. Sandman,1955
18,Joan Weber,Let Me Go Lover,1955
19,Nat King Cole,A Blossom Fell,1955
20,Al Hibbler,Unchained Melody,1955
21,Fess Parker,The Ballad Of Davy Crockett,1955
22,Art Mooney,Honey Babe,1955
23,Tennessee Ernie Ford,The Ballad Of Davy Crockett,1955
24,Perry Como,Ko Ko Mo,1955
25,Gisele Mackenzie,Hard To Get,1955
26,Ames Brothers,The Naughty Lady Of Shady Lane,1955
27,Jaye P. Morgan,That’s All I Want From You,1955
28,Platters,Only You,1955
29,Somethin’ Smith and The Redheads,It’s A Sin To Tell A Lie,1955
0,Elvis Presley,Heartbreak Hotel,1956
1,Elvis Presley,Don’t Be Cruel,1956
2,Nelson Riddle,Lisbon Antigua,1956
3,Platters,My Prayer,1956
4,Gogi Grant,The Wayward Wind,1956
5,Les Baxter,The Poor People Of Paris,1956
6,Doris Day,Whatever Will Be Will Be (Que Sera Sera),1956
7,Elvis Presley,Hound Dog,1956
8,Dean Martin,Memories Are Made Of This,1956
9,Kay Starr,Rock And Roll Waltz,1956
10,Morris Stoloff,Moonglow And Theme From “Picnic”,1956
11,Platters,The Great Pretender,1956
12,Pat Boone,I Almost Lost My Mind,1956
13,Elvis Presley,"I Want You, I Need You, I Love You",1956
14,Elvis Presley,Love Me Tender,1956
15,Perry Como,Hot Diggity,1956
16,Eddie Heywood and Hugo Winterhalter,Canadian Sunset,1956
17,Carl Perkins,Blue Suede Shoes,1956
18,Jim Lowe,The Green Door,1956
19,Four Lads,"No, Not Much",1956
20,Bill Doggett,Honky Tonk,1956
21,Tennessee Ernie Ford,Sixteen Tons,1956
22,Johnnie Ray,Just Walking In The Rain,1956
23,Patti Page,Allegheny Moon,1956
24,Fats Domino,I’m In Love Again,1956
25,Patience and Prudence,Tonight You Belong To Me,1956
26,Gene Vincent,Be-bop-a-lula,1956
27,Frankie Lymon and The Teenagers,Why Do Fools Fall In Love,1956
28,Four Lads,Standing On The Corner,1956
29,Buchanan and Goodman,The Flying Saucer,1956
30,George Cates,Moonglow And Theme From Picnic,1956
31,Cathy Carr,Ivory Tower,1956
32,Bill Haley and His Comets,See You Later Alligator,1956
33,Pat Boone,I’ll Be Home,1956
34,Vic Damone,On The Street Where You Live,1956
35,Platters,Magic Touch,1956
36,Chordettes,Born To Be With You,1956
37,Don Cherry,Band Of Gold,1956
38,Perry Como,More,1956
39,Guy Mitchell,Singing The Blues,1956
40,Fats Domino,Blueberry Hill,1956
41,Sanford Clark,The Fool,1956
42,Don Robertson,The Happy Whistler,1956
43,Bing Crosby and Grace Kelly,True Love,1956
44,Little Richard,Long Tall Sally,1956
45,Teresa Brewer,Sweet Old Fashioned Girl,1956
46,Nervous Norvus,Transfusion,1956
47,Ames Brothers,It Only Hurts For A Little While,1956
48,Teresa Brewer,A Tear Fell,1956
49,Lonnie Donegan,Rock Island Line,1956
50,Dream Weavers,It’s Almost Tomorrow,1956
51,Pat Boone,Friendly Persuasion (Thee I Love),1956
52,Frank Sinatra,Hey Jealous Lover,1956
53,Eddy Heywood,Soft Summer Breeze,1956
54,Andy Williams,Canadian Sunset,1956
55,Eddie Fisher,Dungaree Doll,1956
56,George Hamilton Iv,A Rose and a Baby Ruth,1956
57,Eddie Fisher,Cindy Oh Cindy,1956
58,Jerry Vale,You Don’t Know Me,1956
59,Dick Hyman,Moritat (Theme From Threepenny Opera),1956
60,Gale Storm,Ivory Tower,1956
61,Joe Valino,Garden of Eden,1956
62,Vince Martin and the Tarriers,Cindy Oh Cindy,1956
63,Otis Williams and the Charms,Ivory Tower,1956
64,Crew Cuts,Angels in the Sky,1956
65,Mitch Miller,Song For a Summer Night,1956
66,Gale Storm,Why Do Fools Fall in Love,1956
67,Gale Storm,Teen Age Prayer,1956
68,McGuire Sisters,Picnic,1956
69,Al Hibbler,After the Lights Go Down Low,1956
70,Patti Page,Mama From the Train,1956
71,Nat King Cole,That’s All There Is to That,1956
72,Kit Carson,Band of Gold,1956
73,Tony Martin,Walk Hand in Hand,1956
74,Diamonds,Why Do Fools Fall in Love,1956
75,Perry Como,Juke Box Baby,1956
76,Rusty Draper,Are You Satisfied,1956
77,Jo Stafford,It’s Almost Tomorrow,1956
78,Platters,You’ll Never Never Know,1956
79,Perry Como,Glendora,1956
80,Johnny Cash,I Walk the Line,1956
81,Tony Bennett,Can You Find It in Your Heart,1956
82,Pat Boone,Tutti-Frutti,1956
83,Fontane Sisters,Eddie My Love,1956
84,Don Rondo,Two Different Worlds,1956
85,Jane Powell,True Love,1956
86,Richard Hayman and Jan August,Moritat,1956
87,Nat King Cole,Night Lights,1956
88,Cadillacs,Speedoo,1956
89,Diamonds,The Church Bells May Ring,1956
90,Peggy Lee,Mr Wonderful,1956
91,Fats Domino,My Blue Heaven,1956
92,Clyde McPhatter,Treasure of Love,1956
93,Eileen Rodgers,Miracle of Love,1956
94,Frankie Lymon and the Teenagers,I Want You to Be My Girl,1956
95,Lawrence Welk,Tonight You Belong to Me,1956
96,Chordettes,Lay Down Your Arms,1956
97,Richard Maltby,Theme From ‘the Man with the Golden Arm,1956
98,Teresa Brewer,Bo Weevil,1956
99,Blue Stars,Lullaby of Birdland,1956
0,Elvis Presley,All Shook Up,1957
1,Pat Boone,Love Letters In The Sand,1957
2,Diamonds,Little Darlin’,1957
3,Tab Hunter,Young Love,1957
4,Jimmy Dorsey,So Rare,1957
5,Pat Boone,Don’t Forbid Me,1957
6,Guy Mitchell,Singing The Blues,1957
7,Sonny James,Young Love,1957
8,Elvis Presley,Too Much,1957
9,Perry Como,Round And Round,1957
10,Everly Brothers,Bye Bye Love,1957
11,Debbie Reynolds,Tammy,1957
12,Buddy Knox,Party Doll,1957
13,Elvis Presley,Teddy Bear / Loving You,1957
14,Harry Belafonte,Banana Boat (Day-O),1957
15,Elvis Presley,Jailhouse Rock,1957
16,Marty Robbins,A White Sport Coat (And A Pink Carnation),1957
17,Dell-vikings,Come Go With Me,1957
18,Everly Brothers,Wake Up Little Susie,1957
19,Sam Cooke,You Send Me,1957
20,Coasters,Searchin’,1957
21,Chuck Berry,School Day,1957
22,Ferlin Husky,Gone,1957
23,Paul Anka,Diana,1957
24,Ricky Nelson,A Teenager’s Romance,1957
25,Tarriers,The Banana Boat Song,1957
26,Jimmie Rodgers,Honeycomb,1957
27,Jerry Lee Lewis,Whole Lotta Shakin’ Goin’ On,1957
28,Gale Storm,Dark Moon,1957
29,Crickets,That’ll Be The Day,1957
30,Charlie Gracie,Butterfly,1957
31,Frankie Laine,Moonlight Gambler,1957
32,Tommy Sands,Teenage Crush,1957
33,Johnny Mathis,It’s Not For Me To Say,1957
34,Rays,Silhouettes,1957
35,Andy Williams,Butterfly,1957
36,Terry Gilkyson,Marianne,1957
37,Fats Domino,I’m Walkin’,1957
38,Johnny Mathis,Chances Are,1957
39,Nat King Cole,Send For Me,1957
40,Russ Hamilton,Rainbow,1957
41,Ricky Nelson,Be-bop Baby,1957
42,Larry Williams,Short Fat Fanny,1957
43,Jim Lowe,The Green Door,1957
44,Billy Williams,I’m Gonna Sit Rlght Down And Write Myself A Letter,1957
45,Patti Page,Old Cape Cod,1957
46,Bobbettes,Mr. Lee,1957
47,Fats Domino,Blueberry Hill,1957
48,Dell-Vikings,Whispering Bells,1957
49,Fats Domino,Blue Monday,1957
50,Johnny Mathis,Wonderful! Wonderful!,1957
51,Jane Morgan and the Troubadours,Fascination,1957
52,Bobby Helms,My Special Angel,1957
53,Billy Ward and His Dominoes,Star Dust,1957
54,Bill Justis,Raunchy,1957
55,Elvis Presley,Love Me,1957
56,Harry Belafonte,Jamaica Farewell,1957
57,Pat Boone,Why Baby Why,1957
58,Betty Johnson,I Dreamed,1957
59,Buddy Knox,Hula Love,1957
60,Tune Weavers,"Happy, Happy Birthday Baby",1957
61,Ivory Joe Hunter,Since I Met You Baby,1957
62,Jim Reeves,Four Walls,1957
63,Jerry Lewis,Rock-a-Bye Your Baby with a Dixie Melody,1957
64,Mantovani,Around the World,1957
65,Tony Bennett,In the Middle of an Island,1957
66,Johnnie and Joe,Over the Mountain Across the Sea,1957
67,Hilltoppers,Marianne,1957
68,Don Rondo,White Silver Sands,1957
69,Four Lads,Who Needs You,1957
70,Ames Brothers,Melodie D’Amour,1957
71,Thurston Harris,Little Bitty Pretty One,1957
72,Steve Lawrence,Party Doll,1957
73,Coasters,Young Blood,1957
74,Victor Young,Around the World,1957
75,Andy Williams,I Like Your Kind of Love,1957
76,Bonnie Guitar,Dark Moon,1957
77,Mickey & Sylvia,Love Is Strange,1957
78,Chuck Berry,Rock and Roll Music,1957
79,Little Richard,Jenny Jenny,1957
80,Pat Boone,Bernardine,1957
81,Little Richard,Keep a Knockin’,1957
82,Sal Mineo,Start Movin’,1957
83,Chuck Willis,C.C. Rider,1957
84,Gene Vincent,Lotta Lovin’,1957
85,Ernie Freeman,Raunchy,1957
86,Fats Domino,Valley of Tears,1957
87,Pat Boone,Remember You’re Mine,1957
88,Guy Mitchell,Rock-a-Billy,1957
89,Margie Rayburn,I’m Available,1957
90,Larry Williams,Bony Maronie,1957
91,Harry Belafonte,Mama Look at Bubu,1957
92,Patience and Prudence,Gonna Get Along Without Ya Now,1957
93,Lavern Baker,Jim Dandy,1957
94,Marvin Rainwater,Gonna Find Me a Bluebird,1957
95,Four Coins,Shangri-La,1957
96,Rusty Draper,Freight Train,1957
97,Elvis Presley,Loving You,1957
98,Jimmy Bowen,I’m Sticking with You,1957
99,Joe Bennett and the Sparkletones,Black Slacks,1957
0,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),1958
1,Everly Brothers,All I Have To Do Is Dream / Claudette,1958
2,Elvis Presley,Don’t / I Beg Of You,1958
3,David Seville,Witch Doctor,1958
4,Perez Prado,Patricia,1958
5,Billy Vaughn,Sail Along Silvery Moon / Raunchy,1958
6,Perry Como,Catch A Falling Star / Magic Moments,1958
7,Champs,Tequila,1958
8,Tommy Edwards,It’s All In The Game,1958
9,Dean Martin,Return To Me,1958
10,Conway Twitty,It’s Only Make Believe,1958
11,Sheb Wooley,The Purple People Eater,1958
12,Everly Brothers,Bird Dog / Devoted To You,1958
13,Silhouettes,Get A Job,1958
14,Elegants,Little Star,1958
15,Ricky Nelson,Stood Up / Waitin’ In School,1958
16,Laurie London,He’s Got The Whole World In His Hands,1958
17,Platters,Twilight Time,1958
18,Jimmie Rodgers,Secretly,1958
19,Danny and The Juniors,At The Hop,1958
20,Coasters,Yakety Yak,1958
21,Elvis Presley,Wear My Ring Around Your Neck / Doncha’ Think It’s Time,1958
22,Ricky Nelson,Poor Little Fool,1958
23,Pat Boone,Wonderful Time Up There / It’s Too Soon To Know,1958
24,Jimmy Clanton,Just A Dream,1958
25,McGuire Sisters,Sugartime,1958
26,Bobby Day,Rockin Robbin / Over And Over,1958
27,Kingston Trio,Tom Dooley,1958
28,Chuck Berry,Sweet Little Sixteen,1958
29,Cozy Cole,Topsy II / Topsy I,1958
30,Nat King Cole,Looking Back / Do I Like It,1958
31,Monotones,Book Of Love,1958
32,Tommy Dorsey Orch. and Warren Covington,Tea For Two Cha Cha,1958
33,Little Anthony and The Imperials,Tears On My Pillow,1958
34,Royal Teens,Short Shorts,1958
35,Jerry Lee Lewis,Great Balls Of Fire,1958
36,Chordettes,Lollipop,1958
37,Bobby Darin,Splish Splash,1958
38,Connie Francis,Who’s Sorry Now,1958
39,Jack Scott,My True Love / Leroy,1958
40,Jody Reynolds,Endles Sleep,1958
41,Bobby Freeman,Do You Want To Dance?,1958
42,Kalin Twins,When,1958
43,Teddy Bears,To Know Him Is To Love Him,1958
44,Pat Boone,April Love,1958
45,Duane Eddy,Rebel-‘Rouser,1958
46,Crescendos,Oh Julie,1958
47,Diamonds,The Stroll,1958
48,Elvis Presley,Hard-Headed Woman / Don’t Ask Me Why,1958
49,Buddy Holly,Peggy Sue,1958
50,Don Gibson,Oh Lonesome Me,1958
51,The Big Bopper,Chantilly Lace,1958
52,Rick Nelson,Lonesome Town,1958
53,Frank Sinatra,All the Way,1958
54,Elvis Presley,One Night,1958
55,Robin Luke,Susie Darlin’,1958
56,Four Preps,26 Miles,1958
57,Earl Grant,The End,1958
58,Jimmie Rodgers,Kisses Sweeter Than Wine,1958
59,Playmates,Beep Beep (The Little Nash Rambler),1958
60,Mitch Miller,March From the River Kwai and Colonel Bogey March,1958
61,Everly Brothers,Problems,1958
62,Bobby Darin,Queen of the Hop,1958
63,Will Glahe,Liechtensteiner Polka,1958
64,Elvis Presley,I Got Stung,1958
65,Andy Williams,Are You Sincere,1958
66,Ricky Nelson,I Got a Feeling,1958
67,Poni Tails,Born Too Late,1958
68,Johnny Otis Show,Willie and the Hand Jive,1958
69,Four Preps,Big Man,1958
70,Crickets,Oh Boy,1958
71,Chuck Willis,What Am I Living For,1958
72,Chuck Berry,Johnny B Goode,1958
73,Eddie Cochran,Summertime Blues,1958
74,Roger Williams,Near You,1958
75,Peggy Lee,Fever,1958
76,Ed Townsend,For Your Love,1958
77,Paul Anka,You Are My Destiny,1958
78,Art and Dotty Todd,Chanson D’Amour (Song of Love),1958
79,Lou Monte,Lazy Mary,1958
80,Johnny Cash,Ballad of a Teenage Queen,1958
81,Pat Boone,It’s Too Soon to Know,1958
82,Jimmy McCracklin,The Walk,1958
83,Perry Como,Kewpie Doll,1958
84,George Hamilton Iv,Why Don’t They Understand,1958
85,Frankie Avalon,Dede Dinah,1958
86,Pat Boone,Sugar Moon,1958
87,Everly Brothers,Devoted to You,1958
88,Chantels,Maybe,1958
89,Kathy Linden,Billy,1958
90,Johnny Cash,Guess Things Happen That Way,1958
91,Olympics,Western Movies,1958
92,Roy Hamilton,Don’t Let Go,1958
93,Hollywood Flames,Buzz-Buzz-Buzz,1958
94,Jerry Lee Lewis,Breathless,1958
95,Jan and Arnie,Jennie Lee,1958
96,Royaltones,Poor Boy,1958
97,Marty Robins,The Story of My Life,1958
98,Frankie Avalon,I’ll Wait For You,1958
99,Frankie Avalon,Ginger Bread,1958
0,Johnny Horton,The Battle Of New Orleans,1959
1,Bobby Darin,Mack The Knife,1959
2,Lloyd Price,Personality,1959
3,Frankie Avalon,Venus,1959
4,Paul Anka,Lonely Boy,1959
5,Bobby Darin,Dream Lover,1959
6,Browns,The Three Bells,1959
7,Fleetwoods,Come Softly To Me,1959
8,Wilbert Harrison,Kansas City,1959
9,Fleetwoods,Mr. Blue,1959
10,Santo and Johnny,Sleep Walk,1959
